,real,predict
179,263.85999,252.32324
180,267.76999,247.1849
181,270.63,246.21106
182,273.51001,246.77681
183,271.89001,255.70135
184,273.39001,254.86467
185,275.12,257.87762
186,281.01001,266.65228
187,280.5,284.22153
188,277.76001,296.31
189,272.57001,289.2835
190,272.06,271.72766
191,270.20001,261.68326
192,273.01999,255.0624
193,273.73001,263.05048
194,269.10001,260.4787
195,264.12,251.6099
196,265.01999,241.03047
197,263.25,303.4921
198,267.5,284.45963
199,268.39999,298.50076
200,274.57999,291.67648
201,273.98001,306.83527
202,275.64999,305.99677
203,279.29999,305.20853
204,270.25,304.26614
205,269.84,300.2304
206,263.57001,293.95465
207,264.07001,294.9802
208,264.13,292.31183
209,265.45999,283.13248
210,265.37,242.62463
211,260.47,243.21706
212,255.36,242.09409
213,255.07999999999998,239.87305
214,251.25999,239.62366
215,247.17,239.49246
216,240.70000000000002,239.97533
217,234.34,247.70064
218,246.17999,245.4412
219,248.07000999999997,243.40097
220,247.75,239.91743
221,249.91999999999996,239.63805
222,250.17999,240.11537
223,244.21001000000004,240.22897
224,252.39,239.29326
225,254.38,239.76003
226,256.76999,239.41534
227,257.97,240.03236
228,258.88,240.82193
229,258.98001,241.71866
230,257.39999,242.71013
231,260.35001,243.87856
232,260.98001,245.83768
233,262.95999,249.82358
234,266.45999,264.3856
235,262.85999,293.07703
236,263.41,297.8982
237,263.54999,290.02087
238,265.78,291.45737
239,263.76001,290.73325
240,263.41,290.436
241,267.57999,285.52466
242,269.92999,288.855
243,270.06,290.83615
244,271.95999,279.29742
245,273.10001,274.6143
246,272.73999,274.79614
247,270.14001,278.09695
248,270.47,264.55145
249,270.62,277.2354
250,274.10001,281.0796
251,274.98999,285.265
252,274.38,290.0415
253,277.37,291.80374
254,277.85001,286.91708
255,278.41,309.66602
256,277.42001,311.7208
257,279.14001,313.7446
258,279.51999,315.15958
259,279.32001,315.29303
260,279.20001,315.24573
261,278.67999,314.64145
262,280.42001,315.2434
263,279.39999,315.56586
264,279.01999,315.96396
265,277.32999,315.34183
266,275.01001,315.5445
267,274.45999,315.87204
268,278.44,315.07886
269,279.48999,307.1763
270,281.34,309.34387
271,281.16,312.53946
272,281.31,322.24274
273,282.32999,327.86255
274,282.39999,330.44537
275,281.54999,337.35974
276,284.73001,339.0118
277,279.25,337.71417
278,279.04001,315.97943
279,281.12,315.6148
280,279.64999,313.42194
281,280.70999,343.45923
282,282.48001,342.0959
283,285.82999,331.6133
284,285.97,354.1616
285,286.42001,346.23904
286,287.17999,331.3905
287,288.57001,320.1151
288,288.79001,315.56653
289,287.31,314.94498
290,288.29001,314.24002
291,288.20999,303.5497
292,290.16,301.0919
293,289.97,305.00336
294,290.16,293.67664
295,289.45001,295.81512
296,290.01999,296.3266
297,290.26999,296.6844
298,292.88,301.0384
299,292.23001,325.66818
300,292.04999,336.86084
301,293.41,343.58435
302,293.87,343.76163
303,294.01999,344.3186
304,291.81,344.56354
305,291.17999,342.95273
306,294.03,343.9181
307,292.82001,339.32147
308,287.92999,346.80103
309,287.53,335.4348
310,286.66,336.73315
311,288.10001,317.5848
312,280.85999,324.03714
313,283.39999,339.31293
314,285.06,352.86172
315,287.70001,348.12216
