,real,predict
209,260.47,265.7705
210,255.36,265.77054
211,255.08,264.9475
212,251.25999,263.57812
213,247.17,261.614
214,240.7,259.01736
215,234.34,255.96584
216,246.17999,252.94319
217,248.07001,250.6603
218,247.75,249.1898
219,249.92000000000002,248.42834
220,250.17999,248.2305
221,244.21001,248.4131
222,252.39,248.32755
223,254.38,248.34961
224,256.76999,248.72826
225,257.97,249.54414
226,258.88,250.64032
227,258.98001,251.8214
228,257.39999,253.00525
229,260.35001,254.05518
230,260.98001,255.03148
231,262.95999,255.9595
232,266.45999,256.80862
233,262.85999,257.51532
234,263.41,257.95145
235,263.54999,258.39594
236,265.78,259.10327
237,263.76001,259.9659
238,263.41,260.70038
239,267.57999,261.321
240,269.92999,261.99963
241,270.06,262.7189
242,271.95999,263.50433
243,273.10001,264.52347
244,272.73999,265.70187
245,270.14001,266.92084
246,270.47,267.7274
247,270.62,268.179
248,274.10001,268.46915
249,274.98999,268.9352
250,274.38,269.6444
251,277.37,270.3297
252,277.85001,270.95193
253,278.41,271.7597
254,277.42001,272.6411
255,279.14001,273.5012
256,279.51999,274.30527
257,279.32001,275.09943
258,279.20001,275.91486
259,278.67999,276.6746
260,280.42001,277.18796
261,279.39999,277.5167
262,279.01999,277.5244
263,277.32999,277.53964
264,275.01001,277.53964
265,274.45999,277.29767
266,278.44,276.84897
267,279.48999,276.6674
268,281.34,276.76828
269,281.16,277.13943
270,281.31,277.68738
271,282.32999,278.26193
272,282.39999,278.90714
273,281.54999,279.43466
274,284.73001,279.75397
275,279.25,280.1044
276,279.04001,279.9739
277,281.12,279.62354
278,279.64999,279.49155
279,280.70999,279.55127
280,282.48001,279.83908
281,285.82999,280.224
282,285.97,280.77332
283,286.42001,281.5904
284,287.17999,282.45474
285,288.57001,283.35056
286,288.79001,284.2191
287,287.31,285.03296
288,288.29001,285.59155
289,288.20999,286.03262
290,290.16,286.41003
291,289.97,286.77118
292,290.16,287.20825
293,289.45001,287.75757
294,290.01999,288.28415
295,290.26999,288.6493
296,292.88,289.03357
297,292.23001,289.5631
298,292.04999,290.09805
299,293.41,290.54932
300,293.87,290.98303
301,294.01999,291.39972
302,291.81,291.5969
303,291.17999,291.57166
304,294.03,291.45074
305,292.82001,291.57907
306,287.92999,291.49588
307,287.53,290.69922
